condition_id,ligand_id,ligand_index,metal_index,base_index,solvent_index,metal,base,solvent,demo_liquid_envelope,wet_lab_approved,requested_reaction_temperature_C,provenance
37,L01,0,1,1,1,Cu(OAc)2,DIPEA,acetonitrile,True,False,60.0,virtual_design
38,L01,0,1,1,2,Cu(OAc)2,DIPEA,toluene,True,False,60.0,virtual_design
39,L01,0,1,1,3,Cu(OAc)2,DIPEA,DMF,True,False,60.0,virtual_design
40,L01,0,1,2,0,Cu(OAc)2,triethylamine,ethanol,True,False,60.0,virtual_design
41,L01,0,1,2,1,Cu(OAc)2,triethylamine,acetonitrile,True,False,60.0,virtual_design
42,L01,0,1,2,2,Cu(OAc)2,triethylamine,toluene,True,False,60.0,virtual_design
43,L01,0,1,2,3,Cu(OAc)2,triethylamine,DMF,True,False,60.0,virtual_design
44,L01,0,1,3,0,Cu(OAc)2,pyridine,ethanol,True,False,60.0,virtual_design
45,L01,0,1,3,1,Cu(OAc)2,pyridine,acetonitrile,True,False,60.0,virtual_design
46,L01,0,1,3,2,Cu(OAc)2,pyridine,toluene,True,False,60.0,virtual_design
47,L01,0,1,3,3,Cu(OAc)2,pyridine,DMF,True,False,60.0,virtual_design
48,L01,0,1,4,0,Cu(OAc)2,DABCO,ethanol,True,False,60.0,virtual_design
49,L01,0,1,4,1,Cu(OAc)2,DABCO,acetonitrile,True,False,60.0,virtual_design
50,L01,0,1,4,2,Cu(OAc)2,DABCO,toluene,True,False,60.0,virtual_design
51,L01,0,1,4,3,Cu(OAc)2,DABCO,DMF,True,False,60.0,virtual_design
52,L01,0,1,5,0,Cu(OAc)2,K2CO3,ethanol,False,False,60.0,virtual_design
53,L01,0,1,5,1,Cu(OAc)2,K2CO3,acetonitrile,False,False,60.0,virtual_design
54,L01,0,1,5,2,Cu(OAc)2,K2CO3,toluene,False,False,60.0,virtual_design
55,L01,0,1,5,3,Cu(OAc)2,K2CO3,DMF,False,False,60.0,virtual_design
56,L01,0,1,6,0,Cu(OAc)2,KOtBu,ethanol,False,False,60.0,virtual_design
57,L01,0,1,6,1,Cu(OAc)2,KOtBu,acetonitrile,False,False,60.0,virtual_design
58,L01,0,1,6,2,Cu(OAc)2,KOtBu,toluene,False,False,60.0,virtual_design
59,L01,0,1,6,3,Cu(OAc)2,KOtBu,DMF,False,False,60.0,virtual_design
60,L01,0,1,7,0,Cu(OAc)2,NaOtBu,ethanol,False,False,60.0,virtual_design
61,L01,0,1,7,1,Cu(OAc)2,NaOtBu,acetonitrile,False,False,60.0,virtual_design
62,L01,0,1,7,2,Cu(OAc)2,NaOtBu,toluene,False,False,60.0,virtual_design
63,L01,0,1,7,3,Cu(OAc)2,NaOtBu,DMF,False,False,60.0,virtual_design
64,L01,0,2,0,0,[Rh(COD)Cl]2,DBU,ethanol,True,False,60.0,virtual_design
65,L01,0,2,0,1,[Rh(COD)Cl]2,DBU,acetonitrile,True,False,60.0,virtual_design
66,L01,0,2,0,2,[Rh(COD)Cl]2,DBU,toluene,True,False,60.0,virtual_design
67,L01,0,2,0,3,[Rh(COD)Cl]2,DBU,DMF,True,False,60.0,virtual_design
68,L01,0,2,1,0,[Rh(COD)Cl]2,DIPEA,ethanol,True,False,60.0,virtual_design
69,L01,0,2,1,1,[Rh(COD)Cl]2,DIPEA,acetonitrile,True,False,60.0,virtual_design
70,L01,0,2,1,2,[Rh(COD)Cl]2,DIPEA,toluene,True,False,60.0,virtual_design
71,L01,0,2,1,3,[Rh(COD)Cl]2,DIPEA,DMF,True,False,60.0,virtual_design
72,L01,0,2,2,0,[Rh(COD)Cl]2,triethylamine,ethanol,True,False,60.0,virtual_design
73,L01,0,2,2,1,[Rh(COD)Cl]2,triethylamine,acetonitrile,True,False,60.0,virtual_design
74,L01,0,2,2,2,[Rh(COD)Cl]2,triethylamine,toluene,True,False,60.0,virtual_design
75,L01,0,2,2,3,[Rh(COD)Cl]2,triethylamine,DMF,True,False,60.0,virtual_design
76,L01,0,2,3,0,[Rh(COD)Cl]2,pyridine,ethanol,True,False,60.0,virtual_design
77,L01,0,2,3,1,[Rh(COD)Cl]2,pyridine,acetonitrile,True,False,60.0,virtual_design
78,L01,0,2,3,2,[Rh(COD)Cl]2,pyridine,toluene,True,False,60.0,virtual_design
79,L01,0,2,3,3,[Rh(COD)Cl]2,pyridine,DMF,True,False,60.0,virtual_design
80,L01,0,2,4,0,[Rh(COD)Cl]2,DABCO,ethanol,True,False,60.0,virtual_design
81,L01,0,2,4,1,[Rh(COD)Cl]2,DABCO,acetonitrile,True,False,60.0,virtual_design
82,L01,0,2,4,2,[Rh(COD)Cl]2,DABCO,toluene,True,False,60.0,virtual_design
83,L01,0,2,4,3,[Rh(COD)Cl]2,DABCO,DMF,True,False,60.0,virtual_design
84,L01,0,2,5,0,[Rh(COD)Cl]2,K2CO3,ethanol,False,False,60.0,virtual_design
85,L01,0,2,5,1,[Rh(COD)Cl]2,K2CO3,acetonitrile,False,False,60.0,virtual_design
86,L01,0,2,5,2,[Rh(COD)Cl]2,K2CO3,toluene,False,False,60.0,virtual_design
87,L01,0,2,5,3,[Rh(COD)Cl]2,K2CO3,DMF,False,False,60.0,virtual_design
88,L01,0,2,6,0,[Rh(COD)Cl]2,KOtBu,ethanol,False,False,60.0,virtual_design
89,L01,0,2,6,1,[Rh(COD)Cl]2,KOtBu,acetonitrile,False,False,60.0,virtual_design
90,L01,0,2,6,2,[Rh(COD)Cl]2,KOtBu,toluene,False,False,60.0,virtual_design
91,L01,0,2,6,3,[Rh(COD)Cl]2,KOtBu,DMF,False,False,60.0,virtual_design
92,L01,0,2,7,0,[Rh(COD)Cl]2,NaOtBu,ethanol,False,False,60.0,virtual_design
93,L01,0,2,7,1,[Rh(COD)Cl]2,NaOtBu,acetonitrile,False,False,60.0,virtual_design
94,L01,0,2,7,2,[Rh(COD)Cl]2,NaOtBu,toluene,False,False,60.0,virtual_design
95,L01,0,2,7,3,[Rh(COD)Cl]2,NaOtBu,DMF,False,False,60.0,virtual_design
96,L01,0,3,0,0,[Ir(COD)Cl]2,DBU,ethanol,True,False,60.0,virtual_design
97,L01,0,3,0,1,[Ir(COD)Cl]2,DBU,acetonitrile,True,False,60.0,virtual_design
98,L01,0,3,0,2,[Ir(COD)Cl]2,DBU,toluene,True,False,60.0,virtual_design
99,L01,0,3,0,3,[Ir(COD)Cl]2,DBU,DMF,True,False,60.0,virtual_design
100,L01,0,3,1,0,[Ir(COD)Cl]2,DIPEA,ethanol,True,False,60.0,virtual_design
101,L01,0,3,1,1,[Ir(COD)Cl]2,DIPEA,acetonitrile,True,False,60.0,virtual_design
102,L01,0,3,1,2,[Ir(COD)Cl]2,DIPEA,toluene,True,False,60.0,virtual_design
103,L01,0,3,1,3,[Ir(COD)Cl]2,DIPEA,DMF,True,False,60.0,virtual_design
104,L01,0,3,2,0,[Ir(COD)Cl]2,triethylamine,ethanol,True,False,60.0,virtual_design
105,L01,0,3,2,1,[Ir(COD)Cl]2,triethylamine,acetonitrile,True,False,60.0,virtual_design
106,L01,0,3,2,2,[Ir(COD)Cl]2,triethylamine,toluene,True,False,60.0,virtual_design
107,L01,0,3,2,3,[Ir(COD)Cl]2,triethylamine,DMF,True,False,60.0,virtual_design
108,L01,0,3,3,0,[Ir(COD)Cl]2,pyridine,ethanol,True,False,60.0,virtual_design
109,L01,0,3,3,1,[Ir(COD)Cl]2,pyridine,acetonitrile,True,False,60.0,virtual_design
110,L01,0,3,3,2,[Ir(COD)Cl]2,pyridine,toluene,True,False,60.0,virtual_design
111,L01,0,3,3,3,[Ir(COD)Cl]2,pyridine,DMF,True,False,60.0,virtual_design
112,L01,0,3,4,0,[Ir(COD)Cl]2,DABCO,ethanol,True,False,60.0,virtual_design
113,L01,0,3,4,1,[Ir(COD)Cl]2,DABCO,acetonitrile,True,False,60.0,virtual_design
114,L01,0,3,4,2,[Ir(COD)Cl]2,DABCO,toluene,True,False,60.0,virtual_design
115,L01,0,3,4,3,[Ir(COD)Cl]2,DABCO,DMF,True,False,60.0,virtual_design
116,L01,0,3,5,0,[Ir(COD)Cl]2,K2CO3,ethanol,False,False,60.0,virtual_design
117,L01,0,3,5,1,[Ir(COD)Cl]2,K2CO3,acetonitrile,False,False,60.0,virtual_design
118,L01,0,3,5,2,[Ir(COD)Cl]2,K2CO3,toluene,False,False,60.0,virtual_design
119,L01,0,3,5,3,[Ir(COD)Cl]2,K2CO3,DMF,False,False,60.0,virtual_design
120,L01,0,3,6,0,[Ir(COD)Cl]2,KOtBu,ethanol,False,False,60.0,virtual_design
121,L01,0,3,6,1,[Ir(COD)Cl]2,KOtBu,acetonitrile,False,False,60.0,virtual_design
122,L01,0,3,6,2,[Ir(COD)Cl]2,KOtBu,toluene,False,False,60.0,virtual_design
123,L01,0,3,6,3,[Ir(COD)Cl]2,KOtBu,DMF,False,False,60.0,virtual_design
124,L01,0,3,7,0,[Ir(COD)Cl]2,NaOtBu,ethanol,False,False,60.0,virtual_design
125,L01,0,3,7,1,[Ir(COD)Cl]2,NaOtBu,acetonitrile,False,False,60.0,virtual_design
126,L01,0,3,7,2,[Ir(COD)Cl]2,NaOtBu,toluene,False,False,60.0,virtual_design
127,L01,0,3,7,3,[Ir(COD)Cl]2,NaOtBu,DMF,False,False,60.0,virtual_design
128,L01,0,4,0,0,[Ru(p-cymene)Cl2]2,DBU,ethanol,True,False,60.0,virtual_design
129,L01,0,4,0,1,[Ru(p-cymene)Cl2]2,DBU,acetonitrile,True,False,60.0,virtual_design
130,L01,0,4,0,2,[Ru(p-cymene)Cl2]2,DBU,toluene,True,False,60.0,virtual_design
131,L01,0,4,0,3,[Ru(p-cymene)Cl2]2,DBU,DMF,True,False,60.0,virtual_design
132,L01,0,4,1,0,[Ru(p-cymene)Cl2]2,DIPEA,ethanol,True,False,60.0,virtual_design
133,L01,0,4,1,1,[Ru(p-cymene)Cl2]2,DIPEA,acetonitrile,True,False,60.0,virtual_design
134,L01,0,4,1,2,[Ru(p-cymene)Cl2]2,DIPEA,toluene,True,False,60.0,virtual_design
135,L01,0,4,1,3,[Ru(p-cymene)Cl2]2,DIPEA,DMF,True,False,60.0,virtual_design
136,L01,0,4,2,0,[Ru(p-cymene)Cl2]2,triethylamine,ethanol,True,False,60.0,virtual_design
137,L01,0,4,2,1,[Ru(p-cymene)Cl2]2,triethylamine,acetonitrile,True,False,60.0,virtual_design
138,L01,0,4,2,2,[Ru(p-cymene)Cl2]2,triethylamine,toluene,True,False,60.0,virtual_design
139,L01,0,4,2,3,[Ru(p-cymene)Cl2]2,triethylamine,DMF,True,False,60.0,virtual_design
140,L01,0,4,3,0,[Ru(p-cymene)Cl2]2,pyridine,ethanol,True,False,60.0,virtual_design
141,L01,0,4,3,1,[Ru(p-cymene)Cl2]2,pyridine,acetonitrile,True,False,60.0,virtual_design
142,L01,0,4,3,2,[Ru(p-cymene)Cl2]2,pyridine,toluene,True,False,60.0,virtual_design
143,L01,0,4,3,3,[Ru(p-cymene)Cl2]2,pyridine,DMF,True,False,60.0,virtual_design
144,L01,0,4,4,0,[Ru(p-cymene)Cl2]2,DABCO,ethanol,True,False,60.0,virtual_design
145,L01,0,4,4,1,[Ru(p-cymene)Cl2]2,DABCO,acetonitrile,True,False,60.0,virtual_design
146,L01,0,4,4,2,[Ru(p-cymene)Cl2]2,DABCO,toluene,True,False,60.0,virtual_design
147,L01,0,4,4,3,[Ru(p-cymene)Cl2]2,DABCO,DMF,True,False,60.0,virtual_design
148,L01,0,4,5,0,[Ru(p-cymene)Cl2]2,K2CO3,ethanol,False,False,60.0,virtual_design
149,L01,0,4,5,1,[Ru(p-cymene)Cl2]2,K2CO3,acetonitrile,False,False,60.0,virtual_design
150,L01,0,4,5,2,[Ru(p-cymene)Cl2]2,K2CO3,toluene,False,False,60.0,virtual_design
151,L01,0,4,5,3,[Ru(p-cymene)Cl2]2,K2CO3,DMF,False,False,60.0,virtual_design
152,L01,0,4,6,0,[Ru(p-cymene)Cl2]2,KOtBu,ethanol,False,False,60.0,virtual_design
153,L01,0,4,6,1,[Ru(p-cymene)Cl2]2,KOtBu,acetonitrile,False,False,60.0,virtual_design
154,L01,0,4,6,2,[Ru(p-cymene)Cl2]2,KOtBu,toluene,False,False,60.0,virtual_design
155,L01,0,4,6,3,[Ru(p-cymene)Cl2]2,KOtBu,DMF,False,False,60.0,virtual_design
156,L01,0,4,7,0,[Ru(p-cymene)Cl2]2,NaOtBu,ethanol,False,False,60.0,virtual_design
157,L01,0,4,7,1,[Ru(p-cymene)Cl2]2,NaOtBu,acetonitrile,False,False,60.0,virtual_design
158,L01,0,4,7,2,[Ru(p-cymene)Cl2]2,NaOtBu,toluene,False,False,60.0,virtual_design
159,L01,0,4,7,3,[Ru(p-cymene)Cl2]2,NaOtBu,DMF,False,False,60.0,virtual_design
160,L01,0,5,0,0,Pd(OAc)2,DBU,ethanol,True,False,60.0,virtual_design
161,L01,0,5,0,1,Pd(OAc)2,DBU,acetonitrile,True,False,60.0,virtual_design
162,L01,0,5,0,2,Pd(OAc)2,DBU,toluene,True,False,60.0,virtual_design
163,L01,0,5,0,3,Pd(OAc)2,DBU,DMF,True,False,60.0,virtual_design
164,L01,0,5,1,0,Pd(OAc)2,DIPEA,ethanol,True,False,60.0,virtual_design
165,L01,0,5,1,1,Pd(OAc)2,DIPEA,acetonitrile,True,False,60.0,virtual_design
166,L01,0,5,1,2,Pd(OAc)2,DIPEA,toluene,True,False,60.0,virtual_design
167,L01,0,5,1,3,Pd(OAc)2,DIPEA,DMF,True,False,60.0,virtual_design
168,L01,0,5,2,0,Pd(OAc)2,triethylamine,ethanol,True,False,60.0,virtual_design
169,L01,0,5,2,1,Pd(OAc)2,triethylamine,acetonitrile,True,False,60.0,virtual_design
170,L01,0,5,2,2,Pd(OAc)2,triethylamine,toluene,True,False,60.0,virtual_design
171,L01,0,5,2,3,Pd(OAc)2,triethylamine,DMF,True,False,60.0,virtual_design
172,L01,0,5,3,0,Pd(OAc)2,pyridine,ethanol,True,False,60.0,virtual_design
173,L01,0,5,3,1,Pd(OAc)2,pyridine,acetonitrile,True,False,60.0,virtual_design
174,L01,0,5,3,2,Pd(OAc)2,pyridine,toluene,True,False,60.0,virtual_design
175,L01,0,5,3,3,Pd(OAc)2,pyridine,DMF,True,False,60.0,virtual_design
176,L01,0,5,4,0,Pd(OAc)2,DABCO,ethanol,True,False,60.0,virtual_design
177,L01,0,5,4,1,Pd(OAc)2,DABCO,acetonitrile,True,False,60.0,virtual_design
178,L01,0,5,4,2,Pd(OAc)2,DABCO,toluene,True,False,60.0,virtual_design
179,L01,0,5,4,3,Pd(OAc)2,DABCO,DMF,True,False,60.0,virtual_design
180,L01,0,5,5,0,Pd(OAc)2,K2CO3,ethanol,False,False,60.0,virtual_design
181,L01,0,5,5,1,Pd(OAc)2,K2CO3,acetonitrile,False,False,60.0,virtual_design
182,L01,0,5,5,2,Pd(OAc)2,K2CO3,toluene,False,False,60.0,virtual_design
183,L01,0,5,5,3,Pd(OAc)2,K2CO3,DMF,False,False,60.0,virtual_design
184,L01,0,5,6,0,Pd(OAc)2,KOtBu,ethanol,False,False,60.0,virtual_design
185,L01,0,5,6,1,Pd(OAc)2,KOtBu,acetonitrile,False,False,60.0,virtual_design
186,L01,0,5,6,2,Pd(OAc)2,KOtBu,toluene,False,False,60.0,virtual_design
187,L01,0,5,6,3,Pd(OAc)2,KOtBu,DMF,False,False,60.0,virtual_design
188,L01,0,5,7,0,Pd(OAc)2,NaOtBu,ethanol,False,False,60.0,virtual_design
189,L01,0,5,7,1,Pd(OAc)2,NaOtBu,acetonitrile,False,False,60.0,virtual_design
190,L01,0,5,7,2,Pd(OAc)2,NaOtBu,toluene,False,False,60.0,virtual_design
191,L01,0,5,7,3,Pd(OAc)2,NaOtBu,DMF,False,False,60.0,virtual_design
192,L02,1,0,0,0,CuI,DBU,ethanol,True,False,60.0,virtual_design
193,L02,1,0,0,1,CuI,DBU,acetonitrile,True,False,60.0,virtual_design
194,L02,1,0,0,2,CuI,DBU,toluene,True,False,60.0,virtual_design
195,L02,1,0,0,3,CuI,DBU,DMF,True,False,60.0,virtual_design
196,L02,1,0,1,0,CuI,DIPEA,ethanol,True,False,60.0,virtual_design
197,L02,1,0,1,1,CuI,DIPEA,acetonitrile,True,False,60.0,virtual_design
198,L02,1,0,1,2,CuI,DIPEA,toluene,True,False,60.0,virtual_design
199,L02,1,0,1,3,CuI,DIPEA,DMF,True,False,60.0,virtual_design
200,L02,1,0,2,0,CuI,triethylamine,ethanol,True,False,60.0,virtual_design
201,L02,1,0,2,1,CuI,triethylamine,acetonitrile,True,False,60.0,virtual_design
202,L02,1,0,2,2,CuI,triethylamine,toluene,True,False,60.0,virtual_design
203,L02,1,0,2,3,CuI,triethylamine,DMF,True,False,60.0,virtual_design
204,L02,1,0,3,0,CuI,pyridine,ethanol,True,False,60.0,virtual_design
205,L02,1,0,3,1,CuI,pyridine,acetonitrile,True,False,60.0,virtual_design
206,L02,1,0,3,2,CuI,pyridine,toluene,True,False,60.0,virtual_design
207,L02,1,0,3,3,CuI,pyridine,DMF,True,False,60.0,virtual_design
208,L02,1,0,4,0,CuI,DABCO,ethanol,True,False,60.0,virtual_design
209,L02,1,0,4,1,CuI,DABCO,acetonitrile,True,False,60.0,virtual_design
210,L02,1,0,4,2,CuI,DABCO,toluene,True,False,60.0,virtual_design
211,L02,1,0,4,3,CuI,DABCO,DMF,True,False,60.0,virtual_design
212,L02,1,0,5,0,CuI,K2CO3,ethanol,False,False,60.0,virtual_design
213,L02,1,0,5,1,CuI,K2CO3,acetonitrile,False,False,60.0,virtual_design
214,L02,1,0,5,2,CuI,K2CO3,toluene,False,False,60.0,virtual_design
215,L02,1,0,5,3,CuI,K2CO3,DMF,False,False,60.0,virtual_design
216,L02,1,0,6,0,CuI,KOtBu,ethanol,False,False,60.0,virtual_design
217,L02,1,0,6,1,CuI,KOtBu,acetonitrile,False,False,60.0,virtual_design
218,L02,1,0,6,2,CuI,KOtBu,toluene,False,False,60.0,virtual_design
219,L02,1,0,6,3,CuI,KOtBu,DMF,False,False,60.0,virtual_design
220,L02,1,0,7,0,CuI,NaOtBu,ethanol,False,False,60.0,virtual_design
221,L02,1,0,7,1,CuI,NaOtBu,acetonitrile,False,False,60.0,virtual_design
222,L02,1,0,7,2,CuI,NaOtBu,toluene,False,False,60.0,virtual_design
223,L02,1,0,7,3,CuI,NaOtBu,DMF,False,False,60.0,virtual_design
224,L02,1,1,0,0,Cu(OAc)2,DBU,ethanol,True,False,60.0,virtual_design
225,L02,1,1,0,1,Cu(OAc)2,DBU,acetonitrile,True,False,60.0,virtual_design
226,L02,1,1,0,2,Cu(OAc)2,DBU,toluene,True,False,60.0,virtual_design
227,L02,1,1,0,3,Cu(OAc)2,DBU,DMF,True,False,60.0,virtual_design
228,L02,1,1,1,0,Cu(OAc)2,DIPEA,ethanol,True,False,60.0,virtual_design
229,L02,1,1,1,1,Cu(OAc)2,DIPEA,acetonitrile,True,False,60.0,virtual_design
230,L02,1,1,1,2,Cu(OAc)2,DIPEA,toluene,True,False,60.0,virtual_design
231,L02,1,1,1,3,Cu(OAc)2,DIPEA,DMF,True,False,60.0,virtual_design
232,L02,1,1,2,0,Cu(OAc)2,triethylamine,ethanol,True,False,60.0,virtual_design
233,L02,1,1,2,1,Cu(OAc)2,triethylamine,acetonitrile,True,False,60.0,virtual_design
234,L02,1,1,2,2,Cu(OAc)2,triethylamine,toluene,True,False,60.0,virtual_design
235,L02,1,1,2,3,Cu(OAc)2,triethylamine,DMF,True,False,60.0,virtual_design
236,L02,1,1,3,0,Cu(OAc)2,pyridine,ethanol,True,False,60.0,virtual_design
237,L02,1,1,3,1,Cu(OAc)2,pyridine,acetonitrile,True,False,60.0,virtual_design
238,L02,1,1,3,2,Cu(OAc)2,pyridine,toluene,True,False,60.0,virtual_design
239,L02,1,1,3,3,Cu(OAc)2,pyridine,DMF,True,False,60.0,virtual_design
240,L02,1,1,4,0,Cu(OAc)2,DABCO,ethanol,True,False,60.0,virtual_design
241,L02,1,1,4,1,Cu(OAc)2,DABCO,acetonitrile,True,False,60.0,virtual_design
242,L02,1,1,4,2,Cu(OAc)2,DABCO,toluene,True,False,60.0,virtual_design
243,L02,1,1,4,3,Cu(OAc)2,DABCO,DMF,True,False,60.0,virtual_design
244,L02,1,1,5,0,Cu(OAc)2,K2CO3,ethanol,False,False,60.0,virtual_design
245,L02,1,1,5,1,Cu(OAc)2,K2CO3,acetonitrile,False,False,60.0,virtual_design
246,L02,1,1,5,2,Cu(OAc)2,K2CO3,toluene,False,False,60.0,virtual_design
247,L02,1,1,5,3,Cu(OAc)2,K2CO3,DMF,False,False,60.0,virtual_design
248,L02,1,1,6,0,Cu(OAc)2,KOtBu,ethanol,False,False,60.0,virtual_design
249,L02,1,1,6,1,Cu(OAc)2,KOtBu,acetonitrile,False,False,60.0,virtual_design
250,L02,1,1,6,2,Cu(OAc)2,KOtBu,toluene,False,False,60.0,virtual_design
251,L02,1,1,6,3,Cu(OAc)2,KOtBu,DMF,False,False,60.0,virtual_design
252,L02,1,1,7,0,Cu(OAc)2,NaOtBu,ethanol,False,False,60.0,virtual_design
253,L02,1,1,7,1,Cu(OAc)2,NaOtBu,acetonitrile,False,False,60.0,virtual_design
254,L02,1,1,7,2,Cu(OAc)2,NaOtBu,toluene,False,False,60.0,virtual_design
255,L02,1,1,7,3,Cu(OAc)2,NaOtBu,DMF,False,False,60.0,virtual_design
256,L02,1,2,0,0,[Rh(COD)Cl]2,DBU,ethanol,True,False,60.0,virtual_design
257,L02,1,2,0,1,[Rh(COD)Cl]2,DBU,acetonitrile,True,False,60.0,virtual_design
258,L02,1,2,0,2,[Rh(COD)Cl]2,DBU,toluene,True,False,60.0,virtual_design
259,L02,1,2,0,3,[Rh(COD)Cl]2,DBU,DMF,True,False,60.0,virtual_design
260,L02,1,2,1,0,[Rh(COD)Cl]2,DIPEA,ethanol,True,False,60.0,virtual_design
261,L02,1,2,1,1,[Rh(COD)Cl]2,DIPEA,acetonitrile,True,False,60.0,virtual_design
262,L02,1,2,1,2,[Rh(COD)Cl]2,DIPEA,toluene,True,False,60.0,virtual_design
263,L02,1,2,1,3,[Rh(COD)Cl]2,DIPEA,DMF,True,False,60.0,virtual_design
264,L02,1,2,2,0,[Rh(COD)Cl]2,triethylamine,ethanol,True,False,60.0,virtual_design
265,L02,1,2,2,1,[Rh(COD)Cl]2,triethylamine,acetonitrile,True,False,60.0,virtual_design
266,L02,1,2,2,2,[Rh(COD)Cl]2,triethylamine,toluene,True,False,60.0,virtual_design
267,L02,1,2,2,3,[Rh(COD)Cl]2,triethylamine,DMF,True,False,60.0,virtual_design
268,L02,1,2,3,0,[Rh(COD)Cl]2,pyridine,ethanol,True,False,60.0,virtual_design
269,L02,1,2,3,1,[Rh(COD)Cl]2,pyridine,acetonitrile,True,False,60.0,virtual_design
270,L02,1,2,3,2,[Rh(COD)Cl]2,pyridine,toluene,True,False,60.0,virtual_design
271,L02,1,2,3,3,[Rh(COD)Cl]2,pyridine,DMF,True,False,60.0,virtual_design
272,L02,1,2,4,0,[Rh(COD)Cl]2,DABCO,ethanol,True,False,60.0,virtual_design
273,L02,1,2,4,1,[Rh(COD)Cl]2,DABCO,acetonitrile,True,False,60.0,virtual_design
274,L02,1,2,4,2,[Rh(COD)Cl]2,DABCO,toluene,True,False,60.0,virtual_design
275,L02,1,2,4,3,[Rh(COD)Cl]2,DABCO,DMF,True,False,60.0,virtual_design
276,L02,1,2,5,0,[Rh(COD)Cl]2,K2CO3,ethanol,False,False,60.0,virtual_design
277,L02,1,2,5,1,[Rh(COD)Cl]2,K2CO3,acetonitrile,False,False,60.0,virtual_design
278,L02,1,2,5,2,[Rh(COD)Cl]2,K2CO3,toluene,False,False,60.0,virtual_design
279,L02,1,2,5,3,[Rh(COD)Cl]2,K2CO3,DMF,False,False,60.0,virtual_design
280,L02,1,2,6,0,[Rh(COD)Cl]2,KOtBu,ethanol,False,False,60.0,virtual_design
281,L02,1,2,6,1,[Rh(COD)Cl]2,KOtBu,acetonitrile,False,False,60.0,virtual_design
282,L02,1,2,6,2,[Rh(COD)Cl]2,KOtBu,toluene,False,False,60.0,virtual_design
283,L02,1,2,6,3,[Rh(COD)Cl]2,KOtBu,DMF,False,False,60.0,virtual_design
284,L02,1,2,7,0,[Rh(COD)Cl]2,NaOtBu,ethanol,False,False,60.0,virtual_design
