molecule_id,name,gfn,environment,geometry_sha256,delta_model_eV,evidence_layer,any_numerical_warning
P04,3-methoxypyridine,1,acetonitrile,77586112303e2123356d1cbb3bec9fdae811265bd1eb4b657a03df4f4b4bb4cc,-8.778651034704387,executed_assumed_molecular_states,True
P04,3-methoxypyridine,1,dmf,77586112303e2123356d1cbb3bec9fdae811265bd1eb4b657a03df4f4b4bb4cc,-8.810298276072302,executed_assumed_molecular_states,True
P04,3-methoxypyridine,2,gas,77586112303e2123356d1cbb3bec9fdae811265bd1eb4b657a03df4f4b4bb4cc,-9.662723646784492,executed_assumed_molecular_states,True
P04,3-methoxypyridine,2,acetonitrile,77586112303e2123356d1cbb3bec9fdae811265bd1eb4b657a03df4f4b4bb4cc,-7.7579565426343375,executed_assumed_molecular_states,True
P04,3-methoxypyridine,2,dmf,77586112303e2123356d1cbb3bec9fdae811265bd1eb4b657a03df4f4b4bb4cc,-7.759801896969733,executed_assumed_molecular_states,True
P05,3-fluoropyridine,1,gas,6a534ce738e9b79786e6a782edaba5676e3bf12f96528f03ea89cb66b8282ed7,-11.201415307346755,executed_assumed_molecular_states,True
P05,3-fluoropyridine,1,acetonitrile,6a534ce738e9b79786e6a782edaba5676e3bf12f96528f03ea89cb66b8282ed7,-9.150023632510848,executed_assumed_molecular_states,True
P05,3-fluoropyridine,1,dmf,6a534ce738e9b79786e6a782edaba5676e3bf12f96528f03ea89cb66b8282ed7,-9.202164947848434,executed_assumed_molecular_states,True
P05,3-fluoropyridine,2,gas,6a534ce738e9b79786e6a782edaba5676e3bf12f96528f03ea89cb66b8282ed7,-10.329158703053931,executed_assumed_molecular_states,True
P05,3-fluoropyridine,2,acetonitrile,6a534ce738e9b79786e6a782edaba5676e3bf12f96528f03ea89cb66b8282ed7,-8.259251700595252,executed_assumed_molecular_states,True
P05,3-fluoropyridine,2,dmf,6a534ce738e9b79786e6a782edaba5676e3bf12f96528f03ea89cb66b8282ed7,-8.26451754686237,executed_assumed_molecular_states,True
P06,3-chloropyridine,1,gas,2a38edb7c5d4b300ae3fcb3fa1bb761247ff968a47de88367b97e3ae574679a7,-10.9422639432623,executed_assumed_molecular_states,True
P06,3-chloropyridine,1,acetonitrile,2a38edb7c5d4b300ae3fcb3fa1bb761247ff968a47de88367b97e3ae574679a7,-8.992002901019807,executed_assumed_molecular_states,True
P06,3-chloropyridine,1,dmf,2a38edb7c5d4b300ae3fcb3fa1bb761247ff968a47de88367b97e3ae574679a7,-9.03903529078028,executed_assumed_molecular_states,True
P06,3-chloropyridine,2,gas,2a38edb7c5d4b300ae3fcb3fa1bb761247ff968a47de88367b97e3ae574679a7,-10.137365661312677,executed_assumed_molecular_states,True
P06,3-chloropyridine,2,acetonitrile,2a38edb7c5d4b300ae3fcb3fa1bb761247ff968a47de88367b97e3ae574679a7,-8.09280181964871,executed_assumed_molecular_states,True
P06,3-chloropyridine,2,dmf,2a38edb7c5d4b300ae3fcb3fa1bb761247ff968a47de88367b97e3ae574679a7,-8.100504182202496,executed_assumed_molecular_states,True
P07,3-bromopyridine,1,gas,dcc518900088f8345083c8dd274b403e1a3478033755810a2443f905f9484d8d,-10.922501382213484,executed_assumed_molecular_states,True
P07,3-bromopyridine,1,acetonitrile,dcc518900088f8345083c8dd274b403e1a3478033755810a2443f905f9484d8d,-8.969170821669056,executed_assumed_molecular_states,True
P07,3-bromopyridine,1,dmf,dcc518900088f8345083c8dd274b403e1a3478033755810a2443f905f9484d8d,-9.009121810016094,executed_assumed_molecular_states,True
P07,3-bromopyridine,2,gas,dcc518900088f8345083c8dd274b403e1a3478033755810a2443f905f9484d8d,-10.342518250466878,executed_assumed_molecular_states,True
P07,3-bromopyridine,2,acetonitrile,dcc518900088f8345083c8dd274b403e1a3478033755810a2443f905f9484d8d,-8.300022172492332,executed_assumed_molecular_states,True
P07,3-bromopyridine,2,dmf,dcc518900088f8345083c8dd274b403e1a3478033755810a2443f905f9484d8d,-8.302154432391548,executed_assumed_molecular_states,True
P08,3-(trifluoromethyl)pyridine,1,gas,d76deea0a4520e4ec5ecb55df1c4c265dfc85449ea9c1fc8d8285aaf3772c6b3,-11.517115436523216,executed_assumed_molecular_states,True
P08,3-(trifluoromethyl)pyridine,1,acetonitrile,d76deea0a4520e4ec5ecb55df1c4c265dfc85449ea9c1fc8d8285aaf3772c6b3,-9.412300772887225,executed_assumed_molecular_states,True
P08,3-(trifluoromethyl)pyridine,1,dmf,d76deea0a4520e4ec5ecb55df1c4c265dfc85449ea9c1fc8d8285aaf3772c6b3,-9.487514733699586,executed_assumed_molecular_states,True
P08,3-(trifluoromethyl)pyridine,2,gas,d76deea0a4520e4ec5ecb55df1c4c265dfc85449ea9c1fc8d8285aaf3772c6b3,-10.732471017826802,executed_assumed_molecular_states,True
P08,3-(trifluoromethyl)pyridine,2,acetonitrile,d76deea0a4520e4ec5ecb55df1c4c265dfc85449ea9c1fc8d8285aaf3772c6b3,-8.615072262658918,executed_assumed_molecular_states,True
P08,3-(trifluoromethyl)pyridine,2,dmf,d76deea0a4520e4ec5ecb55df1c4c265dfc85449ea9c1fc8d8285aaf3772c6b3,-8.63651050628789,executed_assumed_molecular_states,True
P09,pyridine-3-carbonitrile,1,gas,d5f4921bbb3ee4a970dfd7d441f0516bff226685f902c889bc814430bf0adbe9,-11.275481024586165,executed_assumed_molecular_states,True
P09,pyridine-3-carbonitrile,1,acetonitrile,d5f4921bbb3ee4a970dfd7d441f0516bff226685f902c889bc814430bf0adbe9,-9.239473478450615,executed_assumed_molecular_states,True
P09,pyridine-3-carbonitrile,1,dmf,d5f4921bbb3ee4a970dfd7d441f0516bff226685f902c889bc814430bf0adbe9,-9.293187761929454,executed_assumed_molecular_states,True
P09,pyridine-3-carbonitrile,2,gas,d5f4921bbb3ee4a970dfd7d441f0516bff226685f902c889bc814430bf0adbe9,-10.503576169160194,executed_assumed_molecular_states,True
P09,pyridine-3-carbonitrile,2,acetonitrile,d5f4921bbb3ee4a970dfd7d441f0516bff226685f902c889bc814430bf0adbe9,-8.50366052626198,executed_assumed_molecular_states,True
P09,pyridine-3-carbonitrile,2,dmf,d5f4921bbb3ee4a970dfd7d441f0516bff226685f902c889bc814430bf0adbe9,-8.50888105849601,executed_assumed_molecular_states,True
P10,methyl nicotinate,1,gas,6faa98a8bc80395f102bc81c29b1d023b3836ec0589519c06acfb75ec425c330,-11.114243766857173,executed_assumed_molecular_states,True
P10,methyl nicotinate,1,acetonitrile,6faa98a8bc80395f102bc81c29b1d023b3836ec0589519c06acfb75ec425c330,-9.322565416756378,executed_assumed_molecular_states,True
P10,methyl nicotinate,1,dmf,6faa98a8bc80395f102bc81c29b1d023b3836ec0589519c06acfb75ec425c330,-9.361593353194076,executed_assumed_molecular_states,True
P10,methyl nicotinate,2,gas,6faa98a8bc80395f102bc81c29b1d023b3836ec0589519c06acfb75ec425c330,-10.228364274430279,executed_assumed_molecular_states,True
P10,methyl nicotinate,2,acetonitrile,6faa98a8bc80395f102bc81c29b1d023b3836ec0589519c06acfb75ec425c330,-8.398371471310059,executed_assumed_molecular_states,True
P10,methyl nicotinate,2,dmf,6faa98a8bc80395f102bc81c29b1d023b3836ec0589519c06acfb75ec425c330,-8.397456938523748,executed_assumed_molecular_states,True
P11,nicotinamide,1,gas,ff45cee047509bfa724a1e040e4e4cf548b4f794ce978cda7b6ec97ca8b2a137,-11.060305350400773,executed_assumed_molecular_states,True
P11,nicotinamide,1,acetonitrile,ff45cee047509bfa724a1e040e4e4cf548b4f794ce978cda7b6ec97ca8b2a137,-9.121239681124068,executed_assumed_molecular_states,True
P11,nicotinamide,1,dmf,ff45cee047509bfa724a1e040e4e4cf548b4f794ce978cda7b6ec97ca8b2a137,-9.137572292896719,executed_assumed_molecular_states,True
P11,nicotinamide,2,gas,ff45cee047509bfa724a1e040e4e4cf548b4f794ce978cda7b6ec97ca8b2a137,-10.121047544936712,executed_assumed_molecular_states,True
P11,nicotinamide,2,acetonitrile,ff45cee047509bfa724a1e040e4e4cf548b4f794ce978cda7b6ec97ca8b2a137,-8.182265576402848,executed_assumed_molecular_states,True
P11,nicotinamide,2,dmf,ff45cee047509bfa724a1e040e4e4cf548b4f794ce978cda7b6ec97ca8b2a137,-8.162849703027383,executed_assumed_molecular_states,True
P12,3-phenylpyridine,1,gas,2e5c1ffdb4458cf4b71b2c87496e9072965156f6095e9d756900cb5db03407ea,-10.580747701561355,executed_assumed_molecular_states,True
P12,3-phenylpyridine,1,acetonitrile,2e5c1ffdb4458cf4b71b2c87496e9072965156f6095e9d756900cb5db03407ea,-8.82822991303836,executed_assumed_molecular_states,True
P12,3-phenylpyridine,1,dmf,2e5c1ffdb4458cf4b71b2c87496e9072965156f6095e9d756900cb5db03407ea,-8.85814778675429,executed_assumed_molecular_states,True
P12,3-phenylpyridine,2,gas,2e5c1ffdb4458cf4b71b2c87496e9072965156f6095e9d756900cb5db03407ea,-9.606139843087082,executed_assumed_molecular_states,True
P12,3-phenylpyridine,2,acetonitrile,2e5c1ffdb4458cf4b71b2c87496e9072965156f6095e9d756900cb5db03407ea,-7.810965203683613,executed_assumed_molecular_states,True
P12,3-phenylpyridine,2,dmf,2e5c1ffdb4458cf4b71b2c87496e9072965156f6095e9d756900cb5db03407ea,-7.818112791814415,executed_assumed_molecular_states,True
