family,split,synthetic_site_fraction,prediction,cost_units,evidence_layer
79,train,0.641221977276575,0.6875993044288223,2.0,synthetic_algorithm_check
80,train,0.3935742815135896,0.29853992830985787,4.0,synthetic_algorithm_check
81,train,0.40796039884790636,0.4262530181717706,2.0,synthetic_algorithm_check
84,train,0.33204279630777933,0.36468289848534363,3.0,synthetic_algorithm_check
85,train,0.5124446712364301,0.549007223462435,3.0,synthetic_algorithm_check
86,train,0.4068184630014226,0.3496084168679278,4.0,synthetic_algorithm_check
87,train,0.25194961382957626,0.3202891044059701,1.0,synthetic_algorithm_check
88,train,0.3417115481724665,0.39717495791639,1.0,synthetic_algorithm_check
91,train,0.43397125523676683,0.42178103255568916,1.0,synthetic_algorithm_check
92,train,0.5199915440365815,0.5715616992760939,3.0,synthetic_algorithm_check
95,train,0.508884434012385,0.475449759639297,2.0,synthetic_algorithm_check
96,train,0.4387701118449922,0.48800036288489324,4.0,synthetic_algorithm_check
98,train,0.4538685166274527,0.41506364513478927,2.0,synthetic_algorithm_check
101,train,0.7718659134930039,0.7046248790075602,1.0,synthetic_algorithm_check
102,train,0.5041899723771557,0.44882121389609825,4.0,synthetic_algorithm_check
104,train,0.31128197518760986,0.36782220947434574,1.0,synthetic_algorithm_check
105,train,0.2768825279093407,0.26409525422769525,2.0,synthetic_algorithm_check
106,train,0.525895413207258,0.4738207843538271,4.0,synthetic_algorithm_check
107,train,0.5724884562199982,0.5004417336166417,1.0,synthetic_algorithm_check
108,train,0.4465496521387032,0.4261141412313567,3.0,synthetic_algorithm_check
110,train,0.4468702935483222,0.5293079255987894,1.0,synthetic_algorithm_check
112,train,0.6397518463851474,0.789374192701927,4.0,synthetic_algorithm_check
115,train,0.6425197036739192,0.5597914958984924,3.0,synthetic_algorithm_check
117,train,0.5245654489655739,0.5190148232437938,4.0,synthetic_algorithm_check
118,train,0.53292193835281,0.5032962618334178,4.0,synthetic_algorithm_check
119,train,0.764147155616905,0.6000314071384028,2.0,synthetic_algorithm_check
2,calibration,0.4681376253802374,0.4729615335680876,3.0,synthetic_algorithm_check
8,calibration,0.2695045567475185,0.23028792137758822,4.0,synthetic_algorithm_check
10,calibration,0.44331663853305964,0.43886063250143553,4.0,synthetic_algorithm_check
15,calibration,0.2084314908975935,0.322251266805772,4.0,synthetic_algorithm_check
18,calibration,0.6230162980900048,0.5065599602193961,4.0,synthetic_algorithm_check
21,calibration,0.5562614729991363,0.4909288326609188,3.0,synthetic_algorithm_check
24,calibration,0.08348452564962003,0.22754618327769982,4.0,synthetic_algorithm_check
35,calibration,0.46090246467853285,0.4110911710150614,1.0,synthetic_algorithm_check
37,calibration,0.47384021385012315,0.4601302991926506,1.0,synthetic_algorithm_check
50,calibration,0.2914815627511509,0.3170838225135349,1.0,synthetic_algorithm_check
65,calibration,0.4087422939992439,0.4053259889606357,3.0,synthetic_algorithm_check
67,calibration,0.6626184863315229,0.6202261329264397,4.0,synthetic_algorithm_check
69,calibration,0.6802920796602524,0.7148480400470517,1.0,synthetic_algorithm_check
71,calibration,0.47331193643454306,0.4215080230730895,4.0,synthetic_algorithm_check
75,calibration,0.5089571829218204,0.4892241098797516,2.0,synthetic_algorithm_check
78,calibration,0.3116128564800281,0.31699610389781635,3.0,synthetic_algorithm_check
89,calibration,0.18740505600565116,0.25711763856120184,3.0,synthetic_algorithm_check
90,calibration,0.569874868448902,0.524975009273692,4.0,synthetic_algorithm_check
93,calibration,0.6196481598878235,0.5957591041218132,3.0,synthetic_algorithm_check
94,calibration,0.7439047738128828,0.7143668360742718,2.0,synthetic_algorithm_check
99,calibration,0.5480865984560997,0.5149366751462858,2.0,synthetic_algorithm_check
100,calibration,0.4385072002729768,0.3549431205065311,4.0,synthetic_algorithm_check
114,calibration,0.3031195440330679,0.3103481296867293,2.0,synthetic_algorithm_check
116,calibration,0.6011403040127737,0.6909219421679129,1.0,synthetic_algorithm_check
5,test,0.3174383438964828,0.41640999256311656,4.0,synthetic_algorithm_check
6,test,0.24433449600918644,0.31672310841591944,3.0,synthetic_algorithm_check
17,test,0.47219504620120945,0.47262115286837586,2.0,synthetic_algorithm_check
20,test,0.5416338745910977,0.5017271385329206,3.0,synthetic_algorithm_check
22,test,0.44732224218867944,0.3759881945041575,1.0,synthetic_algorithm_check
23,test,0.6734891735938394,0.6014218584452818,4.0,synthetic_algorithm_check
28,test,0.2142508955342855,0.20514491081618796,3.0,synthetic_algorithm_check
31,test,0.270921980000404,0.28736238758360166,1.0,synthetic_algorithm_check
32,test,0.4118130264735839,0.4350089430692706,1.0,synthetic_algorithm_check
36,test,0.5536241829921583,0.5686894498570708,2.0,synthetic_algorithm_check
42,test,0.48096808976956523,0.468013669558144,3.0,synthetic_algorithm_check
46,test,0.19702636429403889,0.24257915508734085,2.0,synthetic_algorithm_check
47,test,0.6206556094335438,0.6197554107067524,4.0,synthetic_algorithm_check
51,test,0.739633476876189,0.6598076489044951,4.0,synthetic_algorithm_check
52,test,0.29776434040099076,0.4217089444960364,1.0,synthetic_algorithm_check
53,test,0.3428873165176023,0.28839412807955084,1.0,synthetic_algorithm_check
55,test,0.28743585316070663,0.34640169368741797,3.0,synthetic_algorithm_check
56,test,0.664418502530418,0.6081650204961726,4.0,synthetic_algorithm_check
57,test,0.37191541257134364,0.3643917000349493,1.0,synthetic_algorithm_check
58,test,0.47043959856732115,0.4763860261899713,3.0,synthetic_algorithm_check
62,test,0.21871019187715046,0.2696471091813523,2.0,synthetic_algorithm_check
72,test,0.6486170424196389,0.6773158246213729,1.0,synthetic_algorithm_check
73,test,0.48554740680102326,0.4693475683489811,1.0,synthetic_algorithm_check
82,test,0.4870667524650589,0.5241082704652198,1.0,synthetic_algorithm_check
83,test,0.6130304810115099,0.6304745790283148,1.0,synthetic_algorithm_check
97,test,0.7237502621323676,0.7422796796493406,2.0,synthetic_algorithm_check
103,test,0.609578620270288,0.6496407247109133,1.0,synthetic_algorithm_check
109,test,0.07549868205698348,0.2146340666856785,1.0,synthetic_algorithm_check
111,test,0.8413671675159864,0.6997173066138902,1.0,synthetic_algorithm_check
113,test,0.5932595184139374,0.6100844720791232,2.0,synthetic_algorithm_check
