substrate_id,site,heavy_atom_map_conserved,mapping,product_canonical_smiles,product_identity_status,stereochemistry,literature_scope_status,exact_route_feasibility,charge,protonation
P04,C4,True,[n:1]1[cH:2][c:3]([O:7][CH3:8])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[cH:2][c:3]([O:7][CH3:8])[c:4]([C:100]([OH:101])([CH3:102])[c:103]2[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]2)[cH:5][cH:6]1,COc1ccc(C(C)(O)c2ccncc2OC)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,"proposed extrapolation, not certified published scope",unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P04,C6,True,[n:1]1[cH:2][c:3]([O:7][CH3:8])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[cH:2][c:3]([O:7][CH3:8])[cH:4][cH:5][c:6]1[C:100]([OH:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1,COc1ccc(C(C)(O)c2ccc(OC)cn2)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,"proposed extrapolation, not certified published scope",unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P05,C2,True,[n:1]1[cH:2][c:3]([F:7])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[c:2]([C:100]([OH:101])([CH3:102])[c:103]2[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]2)[c:3]([F:7])[cH:4][cH:5][cH:6]1,COc1ccc(C(C)(O)c2ncccc2F)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,"proposed extrapolation, not certified published scope",unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P05,C4,True,[n:1]1[cH:2][c:3]([F:7])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[cH:2][c:3]([F:7])[c:4]([C:100]([OH:101])([CH3:102])[c:103]2[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]2)[cH:5][cH:6]1,COc1ccc(C(C)(O)c2ccncc2F)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,"proposed extrapolation, not certified published scope",unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P05,C6,True,[n:1]1[cH:2][c:3]([F:7])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[cH:2][c:3]([F:7])[cH:4][cH:5][c:6]1[C:100]([OH:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1,COc1ccc(C(C)(O)c2ccc(F)cn2)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,"proposed extrapolation, not certified published scope",unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P06,C2,True,[n:1]1[cH:2][c:3]([Cl:7])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[c:2]([C:100]([OH:101])([CH3:102])[c:103]2[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]2)[c:3]([Cl:7])[cH:4][cH:5][cH:6]1,COc1ccc(C(C)(O)c2ncccc2Cl)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,"proposed extrapolation, not certified published scope",unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P06,C4,True,[n:1]1[cH:2][c:3]([Cl:7])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[cH:2][c:3]([Cl:7])[c:4]([C:100]([OH:101])([CH3:102])[c:103]2[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]2)[cH:5][cH:6]1,COc1ccc(C(C)(O)c2ccncc2Cl)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,"proposed extrapolation, not certified published scope",unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P06,C6,True,[n:1]1[cH:2][c:3]([Cl:7])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[cH:2][c:3]([Cl:7])[cH:4][cH:5][c:6]1[C:100]([OH:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1,COc1ccc(C(C)(O)c2ccc(Cl)cn2)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,"proposed extrapolation, not certified published scope",unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P07,C2,True,[n:1]1[cH:2][c:3]([Br:7])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[c:2]([C:100]([OH:101])([CH3:102])[c:103]2[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]2)[c:3]([Br:7])[cH:4][cH:5][cH:6]1,COc1ccc(C(C)(O)c2ncccc2Br)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,"proposed extrapolation, not certified published scope",unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P07,C4,True,[n:1]1[cH:2][c:3]([Br:7])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[cH:2][c:3]([Br:7])[c:4]([C:100]([OH:101])([CH3:102])[c:103]2[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]2)[cH:5][cH:6]1,COc1ccc(C(C)(O)c2ccncc2Br)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,"proposed extrapolation, not certified published scope",unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P07,C6,True,[n:1]1[cH:2][c:3]([Br:7])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[cH:2][c:3]([Br:7])[cH:4][cH:5][c:6]1[C:100]([OH:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1,COc1ccc(C(C)(O)c2ccc(Br)cn2)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,"proposed extrapolation, not certified published scope",unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P08,C2,True,[n:1]1[cH:2][c:3]([C:7]([F:8])([F:9])[F:10])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[c:2]([C:100]([OH:101])([CH3:102])[c:103]2[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]2)[c:3]([C:7]([F:8])([F:9])[F:10])[cH:4][cH:5][cH:6]1,COc1ccc(C(C)(O)c2ncccc2C(F)(F)F)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,NC article explicitly reports 3-CF3 / A24,unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P08,C4,True,[n:1]1[cH:2][c:3]([C:7]([F:8])([F:9])[F:10])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[cH:2][c:3]([C:7]([F:8])([F:9])[F:10])[c:4]([C:100]([OH:101])([CH3:102])[c:103]2[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]2)[cH:5][cH:6]1,COc1ccc(C(C)(O)c2ccncc2C(F)(F)F)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,NC article explicitly reports 3-CF3 / A24,unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P08,C6,True,[n:1]1[cH:2][c:3]([C:7]([F:8])([F:9])[F:10])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[cH:2][c:3]([C:7]([F:8])([F:9])[F:10])[cH:4][cH:5][c:6]1[C:100]([OH:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1,COc1ccc(C(C)(O)c2ccc(C(F)(F)F)cn2)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,NC article explicitly reports 3-CF3 / A24,unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P09,C2,True,[n:1]1[cH:2][c:3]([C:7]#[N:8])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[c:2]([C:100]([OH:101])([CH3:102])[c:103]2[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]2)[c:3]([C:7]#[N:8])[cH:4][cH:5][cH:6]1,COc1ccc(C(C)(O)c2ncccc2C#N)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,"proposed extrapolation, not certified published scope",unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P09,C4,True,[n:1]1[cH:2][c:3]([C:7]#[N:8])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[cH:2][c:3]([C:7]#[N:8])[c:4]([C:100]([OH:101])([CH3:102])[c:103]2[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]2)[cH:5][cH:6]1,COc1ccc(C(C)(O)c2ccncc2C#N)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,"proposed extrapolation, not certified published scope",unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P09,C6,True,[n:1]1[cH:2][c:3]([C:7]#[N:8])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[cH:2][c:3]([C:7]#[N:8])[cH:4][cH:5][c:6]1[C:100]([OH:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1,COc1ccc(C(C)(O)c2ccc(C#N)cn2)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,"proposed extrapolation, not certified published scope",unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P10,C2,True,[n:1]1[cH:2][c:3]([C:7](=[O:8])[O:9][CH3:10])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[c:2]([C:100]([OH:101])([CH3:102])[c:103]2[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]2)[c:3]([C:7](=[O:8])[O:9][CH3:10])[cH:4][cH:5][cH:6]1,COC(=O)c1cccnc1C(C)(O)c1ccc(OC)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,"proposed extrapolation, not certified published scope",unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P10,C4,True,[n:1]1[cH:2][c:3]([C:7](=[O:8])[O:9][CH3:10])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[cH:2][c:3]([C:7](=[O:8])[O:9][CH3:10])[c:4]([C:100]([OH:101])([CH3:102])[c:103]2[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]2)[cH:5][cH:6]1,COC(=O)c1cnccc1C(C)(O)c1ccc(OC)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,"proposed extrapolation, not certified published scope",unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P10,C6,True,[n:1]1[cH:2][c:3]([C:7](=[O:8])[O:9][CH3:10])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[cH:2][c:3]([C:7](=[O:8])[O:9][CH3:10])[cH:4][cH:5][c:6]1[C:100]([OH:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1,COC(=O)c1ccc(C(C)(O)c2ccc(OC)cc2)nc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,"proposed extrapolation, not certified published scope",unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P11,C2,True,[n:1]1[cH:2][c:3]([C:7](=[O:8])[NH2:9])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[c:2]([C:100]([OH:101])([CH3:102])[c:103]2[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]2)[c:3]([C:7](=[O:8])[NH2:9])[cH:4][cH:5][cH:6]1,COc1ccc(C(C)(O)c2ncccc2C(N)=O)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,"proposed extrapolation, not certified published scope",unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P11,C4,True,[n:1]1[cH:2][c:3]([C:7](=[O:8])[NH2:9])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[cH:2][c:3]([C:7](=[O:8])[NH2:9])[c:4]([C:100]([OH:101])([CH3:102])[c:103]2[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]2)[cH:5][cH:6]1,COc1ccc(C(C)(O)c2ccncc2C(N)=O)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,"proposed extrapolation, not certified published scope",unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P11,C6,True,[n:1]1[cH:2][c:3]([C:7](=[O:8])[NH2:9])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[cH:2][c:3]([C:7](=[O:8])[NH2:9])[cH:4][cH:5][c:6]1[C:100]([OH:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1,COc1ccc(C(C)(O)c2ccc(C(N)=O)cn2)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,"proposed extrapolation, not certified published scope",unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P12,C2,True,[n:1]1[cH:2][c:3](-[c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[c:2]([C:100]([OH:101])([CH3:102])[c:103]2[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]2)[c:3](-[c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[cH:4][cH:5][cH:6]1,COc1ccc(C(C)(O)c2ncccc2-c2ccccc2)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,NC article explicitly reports 3-phenyl / A23,unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P12,C4,True,[n:1]1[cH:2][c:3](-[c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[cH:2][c:3](-[c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[c:4]([C:100]([OH:101])([CH3:102])[c:103]2[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]2)[cH:5][cH:6]1,COc1ccc(C(C)(O)c2ccncc2-c2ccccc2)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,NC article explicitly reports 3-phenyl / A23,unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P12,C6,True,[n:1]1[cH:2][c:3](-[c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[cH:2][c:3](-[c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[cH:4][cH:5][c:6]1[C:100]([OH:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1,COc1ccc(C(C)(O)c2ccc(-c3ccccc3)cn2)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,NC article explicitly reports 3-phenyl / A23,unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
