source,row_id,condition,reported_yield_raw,reported_yield_percent,label_type,source_locator,replicate_count,site_fraction,censoring,evidence_layer
NC,15,graphite cathode 4.5h,53,53.0,isolated_yield_product_label_footnote_conflict,SI TableS1 S6,,,none_reported,published_literature_not_own_experiment
NC,16,Ni cathode,71,71.0,isolated_yield_product_label_footnote_conflict,SI TableS1 S6,,,none_reported,published_literature_not_own_experiment
NC,17,Zn anode,15,15.0,isolated_yield_product_label_footnote_conflict,SI TableS1 S6,,,none_reported,published_literature_not_own_experiment
NC,18,Pt anode,19,19.0,isolated_yield_product_label_footnote_conflict,SI TableS1 S6,,,none_reported,published_literature_not_own_experiment
NC,19,11h,73,73.0,isolated_yield_product_label_footnote_conflict,SI TableS1 S6,,,none_reported,published_literature_not_own_experiment
NC,20,8h,76,76.0,isolated_yield_product_label_footnote_conflict,SI TableS1 S6,,,none_reported,published_literature_not_own_experiment
NC,21,water10eq,74,74.0,isolated_yield_product_label_footnote_conflict,SI TableS1 S6,,,none_reported,published_literature_not_own_experiment
NC,22,B1 1.5eq,41,41.0,isolated_yield_product_label_footnote_conflict,SI TableS1 S6,,,none_reported,published_literature_not_own_experiment
NC,23,A1 .6mmol B1 .2mmol,57,57.0,isolated_yield_product_label_footnote_conflict,SI TableS1 S6,,,none_reported,published_literature_not_own_experiment
NC,24,B(C6F5)3 30molpct instead AcOH,Trace,,isolated_yield_product_label_footnote_conflict,SI TableS1 S6,,,unquantified,published_literature_not_own_experiment
NC,25,Sc(OTf)3 30molpct instead AcOH,Trace,,isolated_yield_product_label_footnote_conflict,SI TableS1 S6,,,unquantified,published_literature_not_own_experiment
