condition_id,catalyst_id,pair_id,catalyst_family,substrate_id,substrate_family,solvent,temperature_K,imine_M,HE_equiv,catalyst_molpercent,split,condition_origin,signed_ee,absolute_product
C01_axis_negative_I03_toluene,C01_axis_negative,C01,phenyl,I03,naphthyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C01_axis_negative_I03_dichloromethane,C01_axis_negative,C01,phenyl,I03,naphthyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C01_axis_negative_I04_toluene,C01_axis_negative,C01,phenyl,I04,naphthyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C01_axis_negative_I04_dichloromethane,C01_axis_negative,C01,phenyl,I04,naphthyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C02_axis_positive_I01_toluene,C02_axis_positive,C02,phenyl,I01,phenyl_ketimine,toluene,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C02_axis_positive_I01_dichloromethane,C02_axis_positive,C02,phenyl,I01,phenyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C02_axis_positive_I02_toluene,C02_axis_positive,C02,phenyl,I02,phenyl_ketimine,toluene,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C02_axis_positive_I02_dichloromethane,C02_axis_positive,C02,phenyl,I02,phenyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C02_axis_positive_I03_toluene,C02_axis_positive,C02,phenyl,I03,naphthyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C02_axis_positive_I03_dichloromethane,C02_axis_positive,C02,phenyl,I03,naphthyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C02_axis_positive_I04_toluene,C02_axis_positive,C02,phenyl,I04,naphthyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C02_axis_positive_I04_dichloromethane,C02_axis_positive,C02,phenyl,I04,naphthyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C02_axis_negative_I01_toluene,C02_axis_negative,C02,phenyl,I01,phenyl_ketimine,toluene,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C02_axis_negative_I01_dichloromethane,C02_axis_negative,C02,phenyl,I01,phenyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C02_axis_negative_I02_toluene,C02_axis_negative,C02,phenyl,I02,phenyl_ketimine,toluene,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C02_axis_negative_I02_dichloromethane,C02_axis_negative,C02,phenyl,I02,phenyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C02_axis_negative_I03_toluene,C02_axis_negative,C02,phenyl,I03,naphthyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C02_axis_negative_I03_dichloromethane,C02_axis_negative,C02,phenyl,I03,naphthyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C02_axis_negative_I04_toluene,C02_axis_negative,C02,phenyl,I04,naphthyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C02_axis_negative_I04_dichloromethane,C02_axis_negative,C02,phenyl,I04,naphthyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C03_axis_positive_I01_toluene,C03_axis_positive,C03,phenyl,I01,phenyl_ketimine,toluene,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C03_axis_positive_I01_dichloromethane,C03_axis_positive,C03,phenyl,I01,phenyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C03_axis_positive_I02_toluene,C03_axis_positive,C03,phenyl,I02,phenyl_ketimine,toluene,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C03_axis_positive_I02_dichloromethane,C03_axis_positive,C03,phenyl,I02,phenyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C03_axis_positive_I03_toluene,C03_axis_positive,C03,phenyl,I03,naphthyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C03_axis_positive_I03_dichloromethane,C03_axis_positive,C03,phenyl,I03,naphthyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C03_axis_positive_I04_toluene,C03_axis_positive,C03,phenyl,I04,naphthyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C03_axis_positive_I04_dichloromethane,C03_axis_positive,C03,phenyl,I04,naphthyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C03_axis_negative_I01_toluene,C03_axis_negative,C03,phenyl,I01,phenyl_ketimine,toluene,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C03_axis_negative_I01_dichloromethane,C03_axis_negative,C03,phenyl,I01,phenyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C03_axis_negative_I02_toluene,C03_axis_negative,C03,phenyl,I02,phenyl_ketimine,toluene,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C03_axis_negative_I02_dichloromethane,C03_axis_negative,C03,phenyl,I02,phenyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C03_axis_negative_I03_toluene,C03_axis_negative,C03,phenyl,I03,naphthyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C03_axis_negative_I03_dichloromethane,C03_axis_negative,C03,phenyl,I03,naphthyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C03_axis_negative_I04_toluene,C03_axis_negative,C03,phenyl,I04,naphthyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C03_axis_negative_I04_dichloromethane,C03_axis_negative,C03,phenyl,I04,naphthyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C04_axis_positive_I01_toluene,C04_axis_positive,C04,phenyl,I01,phenyl_ketimine,toluene,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C04_axis_positive_I01_dichloromethane,C04_axis_positive,C04,phenyl,I01,phenyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C04_axis_positive_I02_toluene,C04_axis_positive,C04,phenyl,I02,phenyl_ketimine,toluene,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C04_axis_positive_I02_dichloromethane,C04_axis_positive,C04,phenyl,I02,phenyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C04_axis_positive_I03_toluene,C04_axis_positive,C04,phenyl,I03,naphthyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C04_axis_positive_I03_dichloromethane,C04_axis_positive,C04,phenyl,I03,naphthyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C04_axis_positive_I04_toluene,C04_axis_positive,C04,phenyl,I04,naphthyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C04_axis_positive_I04_dichloromethane,C04_axis_positive,C04,phenyl,I04,naphthyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C04_axis_negative_I01_toluene,C04_axis_negative,C04,phenyl,I01,phenyl_ketimine,toluene,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C04_axis_negative_I01_dichloromethane,C04_axis_negative,C04,phenyl,I01,phenyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C04_axis_negative_I02_toluene,C04_axis_negative,C04,phenyl,I02,phenyl_ketimine,toluene,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C04_axis_negative_I02_dichloromethane,C04_axis_negative,C04,phenyl,I02,phenyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C04_axis_negative_I03_toluene,C04_axis_negative,C04,phenyl,I03,naphthyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C04_axis_negative_I03_dichloromethane,C04_axis_negative,C04,phenyl,I03,naphthyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C04_axis_negative_I04_toluene,C04_axis_negative,C04,phenyl,I04,naphthyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C04_axis_negative_I04_dichloromethane,C04_axis_negative,C04,phenyl,I04,naphthyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C05_axis_positive_I01_toluene,C05_axis_positive,C05,fused_polyaryl,I01,phenyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_catalyst,proposed_not_literature_reproduction,,selectivity_undetermined
C05_axis_positive_I01_dichloromethane,C05_axis_positive,C05,fused_polyaryl,I01,phenyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_catalyst,proposed_not_literature_reproduction,,selectivity_undetermined
C05_axis_positive_I02_toluene,C05_axis_positive,C05,fused_polyaryl,I02,phenyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_catalyst,proposed_not_literature_reproduction,,selectivity_undetermined
C05_axis_positive_I02_dichloromethane,C05_axis_positive,C05,fused_polyaryl,I02,phenyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_catalyst,proposed_not_literature_reproduction,,selectivity_undetermined
C05_axis_positive_I03_toluene,C05_axis_positive,C05,fused_polyaryl,I03,naphthyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_both,proposed_not_literature_reproduction,,selectivity_undetermined
C05_axis_positive_I03_dichloromethane,C05_axis_positive,C05,fused_polyaryl,I03,naphthyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_both,proposed_not_literature_reproduction,,selectivity_undetermined
C05_axis_positive_I04_toluene,C05_axis_positive,C05,fused_polyaryl,I04,naphthyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_both,proposed_not_literature_reproduction,,selectivity_undetermined
C05_axis_positive_I04_dichloromethane,C05_axis_positive,C05,fused_polyaryl,I04,naphthyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_both,proposed_not_literature_reproduction,,selectivity_undetermined
C05_axis_negative_I01_toluene,C05_axis_negative,C05,fused_polyaryl,I01,phenyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_catalyst,proposed_not_literature_reproduction,,selectivity_undetermined
C05_axis_negative_I01_dichloromethane,C05_axis_negative,C05,fused_polyaryl,I01,phenyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_catalyst,proposed_not_literature_reproduction,,selectivity_undetermined
C05_axis_negative_I02_toluene,C05_axis_negative,C05,fused_polyaryl,I02,phenyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_catalyst,proposed_not_literature_reproduction,,selectivity_undetermined
C05_axis_negative_I02_dichloromethane,C05_axis_negative,C05,fused_polyaryl,I02,phenyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_catalyst,proposed_not_literature_reproduction,,selectivity_undetermined
C05_axis_negative_I03_toluene,C05_axis_negative,C05,fused_polyaryl,I03,naphthyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_both,proposed_not_literature_reproduction,,selectivity_undetermined
C05_axis_negative_I03_dichloromethane,C05_axis_negative,C05,fused_polyaryl,I03,naphthyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_both,proposed_not_literature_reproduction,,selectivity_undetermined
C05_axis_negative_I04_toluene,C05_axis_negative,C05,fused_polyaryl,I04,naphthyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_both,proposed_not_literature_reproduction,,selectivity_undetermined
C05_axis_negative_I04_dichloromethane,C05_axis_negative,C05,fused_polyaryl,I04,naphthyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_both,proposed_not_literature_reproduction,,selectivity_undetermined
C06_axis_positive_I01_toluene,C06_axis_positive,C06,fused_polyaryl,I01,phenyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_catalyst,proposed_not_literature_reproduction,,selectivity_undetermined
C06_axis_positive_I01_dichloromethane,C06_axis_positive,C06,fused_polyaryl,I01,phenyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_catalyst,proposed_not_literature_reproduction,,selectivity_undetermined
C06_axis_positive_I02_toluene,C06_axis_positive,C06,fused_polyaryl,I02,phenyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_catalyst,proposed_not_literature_reproduction,,selectivity_undetermined
C06_axis_positive_I02_dichloromethane,C06_axis_positive,C06,fused_polyaryl,I02,phenyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_catalyst,proposed_not_literature_reproduction,,selectivity_undetermined
C06_axis_positive_I03_toluene,C06_axis_positive,C06,fused_polyaryl,I03,naphthyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_both,proposed_not_literature_reproduction,,selectivity_undetermined
C06_axis_positive_I03_dichloromethane,C06_axis_positive,C06,fused_polyaryl,I03,naphthyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_both,proposed_not_literature_reproduction,,selectivity_undetermined
C06_axis_positive_I04_toluene,C06_axis_positive,C06,fused_polyaryl,I04,naphthyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_both,proposed_not_literature_reproduction,,selectivity_undetermined
C06_axis_positive_I04_dichloromethane,C06_axis_positive,C06,fused_polyaryl,I04,naphthyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_both,proposed_not_literature_reproduction,,selectivity_undetermined
C06_axis_negative_I01_toluene,C06_axis_negative,C06,fused_polyaryl,I01,phenyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_catalyst,proposed_not_literature_reproduction,,selectivity_undetermined
C06_axis_negative_I01_dichloromethane,C06_axis_negative,C06,fused_polyaryl,I01,phenyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_catalyst,proposed_not_literature_reproduction,,selectivity_undetermined
C06_axis_negative_I02_toluene,C06_axis_negative,C06,fused_polyaryl,I02,phenyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_catalyst,proposed_not_literature_reproduction,,selectivity_undetermined
C06_axis_negative_I02_dichloromethane,C06_axis_negative,C06,fused_polyaryl,I02,phenyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_catalyst,proposed_not_literature_reproduction,,selectivity_undetermined
C06_axis_negative_I03_toluene,C06_axis_negative,C06,fused_polyaryl,I03,naphthyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_both,proposed_not_literature_reproduction,,selectivity_undetermined
C06_axis_negative_I03_dichloromethane,C06_axis_negative,C06,fused_polyaryl,I03,naphthyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_both,proposed_not_literature_reproduction,,selectivity_undetermined
C06_axis_negative_I04_toluene,C06_axis_negative,C06,fused_polyaryl,I04,naphthyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_both,proposed_not_literature_reproduction,,selectivity_undetermined
C06_axis_negative_I04_dichloromethane,C06_axis_negative,C06,fused_polyaryl,I04,naphthyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_both,proposed_not_literature_reproduction,,selectivity_undetermined
